,<rpm>,<algo_cycles>,<handoff_cycles>
# DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
D,boot,6498924,193,52,0,210,151
H,boot,211981,27650,0
E,1084,2,1500,253,582
E,1085,2,1500,253,582
E,1086,2,1500,253,582
E,1087,2,1500,253,582
E,1088,2,1500,253,582
E,1089,2,1500,253,582
E,1090,2,1500,253,582
E,1091,2,1500,253,582
E,1092,2,1500,253,582
E,1093,2,1500,253,582
E,1094,2,1500,253,582
E,1095,2,1500,253,582
E,1096,2,1500,253,582
E,1097,2,1500,253,582
E,1098,2,1500,253,582
E,1099,2,1500,253,582
E,1100,2,1500,253,582
E,1101,2,1500,253,582
E,1102,2,1500,253,582
E,1103,2,1500,253,582
E,1104,2,1500,253,582
E,1105,2,1500,253,582
E,1106,2,1500,253,582
E,1107,2,1500,253,582
E,1108,2,1500,253,582
E,1109,2,1500,253,582
E,1110,2,1500,253,582
E,1111,2,1500,253,582
E,1112,2,1500,253,582
E,1113,2,1500,253,582
E,1114,2,1500,253,582
E,1115,2,1500,253,582
E,1116,2,1500,253,582
E,1117,2,1500,253,582
E,1118,2,1500,253,582
E,1119,2,1500,253,582
E,1120,2,1500,253,582
E,1121,2,1500,253,582
E,1122,2,1500,253,582
E,1123,2,1500,253,582
E,1124,2,1500,253,582
E,1125,2,1500,253,582
E,1126,2,1500,253,582
E,1127,2,1500,253,582
E,1128,2,1500,253,582
E,1129,2,1500,253,582
E,1130,2,1500,253,582
E,1131,2,1500,253,582
E,1132,2,1500,253,582
E,1133,2,1500,253,582
E,1134,2,1500,253,582
E,1135,2,1500,253,582
E,1136,2,1500,253,582
E,1137,2,1500,253,582
E,1138,2,1500,253,582
E,1139,2,1500,253,582
E,1140,2,1500,253,582
E,1141,2,1500,253,582
E,1142,2,1500,253,582
E,1143,2,1500,253,582
E,1144,2,1500,253,582
E,1145,2,1500,253,582
